"","surgery","release_speed","arm_angle","spin_axis","release_spin_rate","pitch_type","release_pos_z"
"32172","0",91.9,48.8,210,2525,3,6.17
"32173","0",83.8,31.8,173,1499,8,5.97
"32174","0",86.4,24.4,92,3085,8,5.28
"32175","0",85.4,37,46,2634,8,5.48
"32176","0",93.9,35.6,221,2291,3,5.95
"32177","0",83.9,28.4,83,2784,7,5.59
"32178","0",90.2,36.4,216,1889,6,5.26
"32179","0",87.3,42,135,1315,1,5.71
"32180","0",86.6,40.4,223,1754,4,5.67
"32181","0",82,60.7,79,2504,7,5.91
"32182","0",80.3,26.5,305,2642,7,4.94
"32183","0",99.7,49.3,281,2511,3,6.16
"32184","0",94.6,47.1,156,2254,3,5.91
"32185","0",79.9,45,236,886,4,5.97
"32186","0",97.8,44.5,211,2221,3,5.36
"32187","0",81.9,47.7,114,1588,1,5.88
"32188","0",81.6,51.1,136,1591,1,5.99
"32189","0",84.8,46.6,130,1846,1,6.03
"32190","0",94.5,36.5,222,2539,3,5.69
"32191","0",80.3,52.8,52,2364,8,5.84
"32192","0",87.1,48.2,146,1883,1,6.33
"32193","0",100.3,39.4,225,2063,6,5.74
"32194","0",92.9,46.1,212,1989,3,6.96
"32195","0",89.2,11.5,123,2073,6,4.84
"32196","0",93.5,37.2,208,2185,6,5.85
"32197","0",94,48.9,211,2244,3,6.62
"32198","0",82.4,8.9,85,1920,1,4.65
"32199","0",94.4,36.9,230,2134,6,5.87
"32200","0",93.4,43.8,199,2308,3,6.33
"32201","0",91.4,24,224,2226,3,5.43
"32202","0",86.6,50.4,81,2180,7,5.38
"32203","0",94.1,53.7,156,2262,3,6.03
"32204","0",89.8,38.8,217,1948,6,5.17
"32205","0",86.6,34.3,54,2977,8,5.45
"32206","0",84.1,21.9,121,1760,1,5.16
"32207","0",81.2,43.4,63,2679,8,5.89
"32208","0",94.1,26.5,124,2254,6,5.38
"32209","0",85.2,44.4,227,1722,1,6.36
"32210","0",91.4,49.4,151,2098,3,6.1
"32211","0",75,41.3,322,2369,2,6.19
"32212","0",86.2,50.7,75,2259,7,6.26
"32213","0",85.3,36.2,88,2259,7,4.97
"32214","0",93.1,35,222,2063,6,5.37
"32215","0",95.3,49.8,148,2304,3,5.84
"32216","0",97.2,25.4,221,2181,6,5.42
"32217","0",86,42.5,245,2133,1,5.54
"32218","0",93,23.3,227,2365,6,5.22
"32219","0",83.5,59.5,1,2312,2,6.34
"32220","0",92.9,41.9,146,2388,3,5.83
"32221","0",94.7,37,229,2011,6,5.67
"32222","0",86.2,44.4,139,2344,7,5.79
"32223","0",82.6,40.2,41,2633,2,5.75
"32224","0",96.3,38.7,220,2196,3,5.99
"32225","0",95.7,49.4,275,2475,6,5.76
"32226","0",95,18.6,235,2186,6,5.33
"32227","0",95.3,49,209,2235,3,5.69
"32228","0",82,59.5,297,2041,7,6.41
"32229","0",81.9,48.7,251,2678,1,6.19
"32230","0",92.7,50.8,155,2184,3,6.44
"32231","0",83.8,20.3,66,2722,7,5.02
"32232","0",99.3,38.1,210,2204,3,5.78
"32233","0",88.8,42.1,163,2404,3,6.16
"32234","0",89.2,44,144,2490,3,6.16
"32235","0",95.5,15.6,234,2396,6,5.11
"32236","0",95.9,18.4,241,2124,3,5.15
